hex_color,r_component,g_component,b_component,munsell_notation,expected_iscc_nbs_name,actual_iscc_nbs_descriptor,match_status,notes
#c48379,196,131,121,9.6R 6.0/5.5,dark yellowish pink,grayish reddish orange,MISMATCH,Word differences: pos0: dark vs grayish, pos1: yellowish vs reddish, pos2: pink vs orange
#ecd5c5,236,213,197,2.1Y 8.7/2.2,pale yellowish pink,pale pink,MISMATCH,Word count difference: 3 vs 2 words
#c7ada3,199,173,163,9.7YR 7.3/2.2,grayish yellowish pink,light grayish yellowish brown,MISMATCH,Word count difference: 3 vs 4 words
#c2ac99,194,172,153,2.2Y 7.2/2.3,brownish pink,grayish yellow,MISMATCH,Word differences: pos0: brownish vs grayish, pos1: pink vs yellow
#e25822,226,88,34,10R 5.4/13.6,vivid reddish orange,vivid reddish orange,EXACT_MATCH,Perfect classification match
#d9603b,217,96,59,9.8R 5.4/12.1,strong reddish orange,strong reddish orange,EXACT_MATCH,Perfect classification match
#aa381e,170,56,30,9.9R 4.0/10.7,deep reddish orange,dark reddish orange,MISMATCH,Word differences: pos0: deep vs dark
#cb6d51,203,109,81,1.1YR 5.5/8.5,moderate reddish orange,moderate reddish orange,EXACT_MATCH,Perfect classification match
#9e4732,158,71,50,10R 4.0/8.0,dark reddish orange,dark reddish orange,EXACT_MATCH,Perfect classification match
#b4745e,180,116,94,10R 5.4/6.2,grayish reddish orange,grayish reddish orange,EXACT_MATCH,Perfect classification match
#882d17,136,45,23,10R 3.3/9.9,strong reddish brown,strong reddish brown,EXACT_MATCH,Perfect classification match
#56070c,86,7,12,10RP 1.5/8.0,deep reddish brown,very deep purplish red,MISMATCH,Word count difference: 3 vs 4 words
#a87c6d,168,124,109,6.1YR 5.4/3.5,light reddish brown,light brown,MISMATCH,Word count difference: 3 vs 2 words
#79443b,121,68,59,1.5YR 3.7/5.0,moderate reddish brown,moderate reddish brown,EXACT_MATCH,Perfect classification match
#3e1d1e,62,29,30,10RP 1.4/3.4,dark reddish brown,very dark purplish red,MISMATCH,Word count difference: 3 vs 4 words
#977f73,151,127,115,10YR 5.4/2.3,light grayish reddish brown,grayish yellowish brown,MISMATCH,Word count difference: 4 vs 3 words
#674c47,103,76,71,8.7R 3.7/2.6,grayish reddish brown,grayish reddish brown,EXACT_MATCH,Perfect classification match
#43302e,67,48,46,2.5YR 2.0/1.3,dark grayish reddish brown,dark grayish reddish brown,EXACT_MATCH,Perfect classification match
#f38400,243,132,0,4.6YR 6.6/14.0,vivid orange,NO_CLASSIFICATION,NO_CLASSIFICATION,Point not found in any ISCC-NBS polygon
#fd943f,253,148,63,5.1YR 7.1/11.8,brilliant orange,strong orange,MISMATCH,Word differences: pos0: brilliant vs strong
#ed872d,237,135,45,5YR 6.6/12.0,strong orange,strong orange,EXACT_MATCH,Perfect classification match
#be6516,190,101,22,5.5YR 5.1/10.7,deep orange,deep orange,EXACT_MATCH,Perfect classification match
#fab57f,250,181,127,7.2YR 7.9/7.2,light orange,light orange,EXACT_MATCH,Perfect classification match
#d99058,217,144,88,6YR 6.5/7.8,moderate orange,moderate orange,EXACT_MATCH,Perfect classification match
#ae6938,174,105,56,5.9YR 5.0/7.7,brownish orange,brownish orange,EXACT_MATCH,Perfect classification match
#80461b,128,70,27,5.6YR 3.8/7.8,strong brown,strong brown,EXACT_MATCH,Perfect classification match
#593319,89,51,25,7.1R 2.4/6.4,deep brown,deep reddish brown,MISMATCH,Word count difference: 2 vs 3 words
#a67b5b,166,123,91,9.5YR 5.4/4.4,light brown,moderate yellowish brown,MISMATCH,Word count difference: 2 vs 3 words
#6f4e37,111,78,55,6.5YR 3.8/3.2,moderate brown,moderate brown,EXACT_MATCH,Perfect classification match
#422518,66,37,24,5.9R 1.6/4.4,dark brown,very dark red,MISMATCH,Word count difference: 2 vs 3 words
#958070,149,128,112,2.4Y 5.4/2.1,light grayish brown,light olive brown,MISMATCH,Word differences: pos1: grayish vs olive
#635147,99,81,71,2.4Y 3.8/2.1,grayish brown,moderate olive brown,MISMATCH,Word count difference: 2 vs 3 words
#3e322c,62,50,44,2.4YR 2.0/1.3,dark grayish brown,dark grayish reddish brown,MISMATCH,Word count difference: 3 vs 4 words
#8e8279,142,130,121,1.7Y 5.4/1.5,light brownish gray,light olive brown,MISMATCH,Word differences: pos1: brownish vs olive, pos2: gray vs brown
#5b504f,91,80,79,5.3YR 3.7/1.0,brownish gray,brownish gray,EXACT_MATCH,Perfect classification match
#28201c,40,32,28,7.9R 1.2/1.0,brownish black,NO_CLASSIFICATION,NO_CLASSIFICATION,Point not found in any ISCC-NBS polygon
#f6a600,246,166,0,9.1YR 7.4/12.9,vivid orange yellow,strong orange yellow,MISMATCH,Word differences: pos0: vivid vs strong
#ffc14f,255,193,79,1.4Y 8.3/10.1,brilliant orange yellow,brilliant yellow,MISMATCH,Word count difference: 3 vs 2 words
#eaa221,234,162,33,10YR 7.2/11.2,strong orange yellow,strong orange yellow,EXACT_MATCH,Perfect classification match
#c98500,201,133,0,9.8YR 6.0/10.9,deep orange yellow,deep orange yellow,EXACT_MATCH,Perfect classification match
#fbc97f,251,201,127,1.8Y 8.5/6.9,light orange yellow,light orange yellow,EXACT_MATCH,Perfect classification match
#e3a857,227,168,87,10YR 7.3/8.4,moderate orange yellow,moderate orange yellow,EXACT_MATCH,Perfect classification match
#be8a3d,190,138,61,10YR 6.0/7.8,dark orange yellow,dark orange yellow,EXACT_MATCH,Perfect classification match
#fad6a5,250,214,165,2.5Y 8.8/4.6,pale orange yellow,pale yellow,MISMATCH,Word count difference: 3 vs 2 words
#996515,153,101,21,10YR 4.6/8.2,strong yellowish brown,strong yellowish brown,EXACT_MATCH,Perfect classification match
#654522,101,69,34,9.6YR 3.3/4.8,deep yellowish brown,dark yellowish brown,MISMATCH,Word differences: pos0: deep vs dark
#c19a6b,193,154,107,1.4Y 6.6/5.1,light yellowish brown,moderate yellow,MISMATCH,Word count difference: 3 vs 2 words
#826644,130,102,68,1.9Y 4.4/3.8,moderate yellowish brown,moderate yellowish brown,EXACT_MATCH,Perfect classification match
#4b3621,75,54,33,9.8R 2.3/4.4,dark yellowish brown,dark reddish brown,MISMATCH,Word differences: pos1: yellowish vs reddish
#ae9b82,174,155,130,3.1Y 6.4/2.8,light grayish yellowish brown,light olive brown,MISMATCH,Word count difference: 4 vs 3 words
#7e6d5a,126,109,90,2.5Y 4.6/2.1,grayish yellowish brown,light olive brown,MISMATCH,Word differences: pos0: grayish vs light, pos1: yellowish vs olive
#483c32,72,60,50,10R 2.6/2.2,dark grayish yellowish brown,grayish reddish brown,MISMATCH,Word count difference: 4 vs 3 words
#f3c300,243,195,0,3.9Y 8.1/12.1,vivid yellow,vivid yellow,EXACT_MATCH,Perfect classification match
#fada5e,250,218,94,6.2Y 8.8/9.2,brilliant yellow,brilliant yellow,EXACT_MATCH,Perfect classification match
#d4af37,212,175,55,5.3Y 7.3/9.2,strong yellow,strong yellow,EXACT_MATCH,Perfect classification match
#af8d13,175,141,19,4.9Y 5.9/8.9,deep yellow,deep yellow,EXACT_MATCH,Perfect classification match
#f8de7e,248,222,126,6.8Y 8.9/8.1,light yellow,brilliant yellow,MISMATCH,Word differences: pos0: light vs brilliant
#c9ae5d,201,174,93,6.2Y 7.2/6.7,moderate yellow,moderate yellow,EXACT_MATCH,Perfect classification match
#ab9144,171,145,68,5.5Y 6.0/6.5,dark yellow,dark yellow,EXACT_MATCH,Perfect classification match
#f3e5ab,243,229,171,8.5Y 9.2/5.8,pale yellow,light greenish yellow,MISMATCH,Word count difference: 2 vs 3 words
#c2b280,194,178,128,7.6Y 7.3/4.3,grayish yellow,grayish yellow,EXACT_MATCH,Perfect classification match
#a18f60,161,143,96,6.7Y 5.9/4.4,dark grayish yellow,dark grayish yellow,EXACT_MATCH,Perfect classification match
#f0ead6,240,234,214,1.8GY 9.5/3.2,yellowish white,pale greenish yellow,MISMATCH,Word count difference: 2 vs 3 words
#bfb8a5,191,184,165,7.8Y 7.4/1.9,yellowish gray,grayish pink,MISMATCH,Word differences: pos0: yellowish vs grayish, pos1: gray vs pink
#967117,150,113,23,3.6Y 4.9/7.4,light olive brown,light olive brown,EXACT_MATCH,Perfect classification match
#6c541e,108,84,30,4Y 3.8/5.1,moderate olive brown,moderate olive brown,EXACT_MATCH,Perfect classification match
#3b3121,59,49,33,2.3YR 1.9/3.0,dark olive brown,NO_CLASSIFICATION,NO_CLASSIFICATION,Point not found in any ISCC-NBS polygon
#dcd300,220,211,0,10Y 8.4/11.7,vivid greenish yellow,vivid greenish yellow,EXACT_MATCH,Perfect classification match
#e9e450,233,228,80,1.4GY 8.9/10.7,brilliant greenish yellow,brilliant greenish yellow,EXACT_MATCH,Perfect classification match
#beb72e,190,183,46,10Y 7.3/9.6,strong greenish yellow,strong greenish yellow,EXACT_MATCH,Perfect classification match
#9b9400,155,148,0,1.5GY 5.9/8.9,deep greenish yellow,deep greenish yellow,EXACT_MATCH,Perfect classification match
#eae679,234,230,121,1.5GY 9.1/8.6,light greenish yellow,brilliant greenish yellow,MISMATCH,Word differences: pos0: light vs brilliant
#b9b459,185,180,89,10Y 7.2/7.0,moderate greenish yellow,moderate greenish yellow,EXACT_MATCH,Perfect classification match
#98943e,152,148,62,1.3GY 5.9/6.7,dark greenish yellow,dark greenish yellow,EXACT_MATCH,Perfect classification match
#ebe8a4,235,232,164,2GY 9.2/6.6,pale greenish yellow,light greenish yellow,MISMATCH,Word differences: pos0: pale vs light
#b9b57d,185,181,125,10Y 7.3/4.2,grayish greenish yellow,grayish greenish yellow,EXACT_MATCH,Perfect classification match
#867e36,134,126,54,10Y 5.1/5.8,light olive,light olive,EXACT_MATCH,Perfect classification match
#665d1e,102,93,30,7.9Y 3.8/5.7,moderate olive,moderate olive,EXACT_MATCH,Perfect classification match
#403d21,64,61,33,6.2YR 2.4/4.2,dark olive,dark brown,MISMATCH,Word differences: pos1: olive vs brown
#8c8767,140,135,103,1.6GY 5.4/3.1,light grayish olive,light olive,MISMATCH,Word count difference: 3 vs 2 words
#5b5842,91,88,66,2.3GY 3.8/2.4,grayish olive,grayish olive green,MISMATCH,Word count difference: 2 vs 3 words
#363527,54,53,39,6.7YR 2.0/2.2,dark grayish olive,dark grayish brown,MISMATCH,Word differences: pos2: olive vs brown
#8a8776,138,135,118,3.1GY 5.5/1.9,light olive gray,grayish yellow green,MISMATCH,Word differences: pos0: light vs grayish, pos1: olive vs yellow, pos2: gray vs green
#57554c,87,85,76,2.7GY 3.8/1.9,olive gray,grayish olive green,MISMATCH,Word count difference: 2 vs 3 words
#25241d,37,36,29,6.1YR 1.3/1.0,olive black,NO_CLASSIFICATION,NO_CLASSIFICATION,Point not found in any ISCC-NBS polygon
#8db600,141,182,0,5.5GY 6.9/11.2,vivid yellow green,vivid yellow green,EXACT_MATCH,Perfect classification match
#bdda57,189,218,87,5.4GY 8.4/10.0,brilliant yellow green,brilliant yellow green,EXACT_MATCH,Perfect classification match
#7e9f2e,126,159,46,5.8GY 6.0/9.3,strong yellow green,strong yellow green,EXACT_MATCH,Perfect classification match
#467129,70,113,41,7.5GY 4.2/7.0,deep yellow green,NO_CLASSIFICATION,NO_CLASSIFICATION,Point not found in any ISCC-NBS polygon
#c9dc89,201,220,137,5.5GY 8.6/6.7,light yellow green,light yellow green,EXACT_MATCH,Perfect classification match
#8a9a5b,138,154,91,4.7GY 6.0/5.7,moderate yellow green,moderate yellow green,EXACT_MATCH,Perfect classification match
#dadfb7,218,223,183,5.4GY 8.7/3.4,pale yellow green,light yellow green,MISMATCH,Word differences: pos0: pale vs light
#8f9779,143,151,121,5.6GY 6.0/3.4,grayish yellow green,moderate yellow green,MISMATCH,Word differences: pos0: grayish vs moderate
#404f00,64,79,0,10YR 3.2/8.9,strong olive green,deep yellowish brown,MISMATCH,Word differences: pos0: strong vs deep, pos1: olive vs yellowish, pos2: green vs brown
#232f00,35,47,0,10YR 1.5/6.4,deep olive green,deep yellowish brown,MISMATCH,Word differences: pos1: olive vs yellowish, pos2: green vs brown
#4a5d23,74,93,35,5.3GY 3.8/5.4,moderate olive green,moderate olive green,EXACT_MATCH,Perfect classification match
#2b3d26,43,61,38,4.9Y 2.2/3.3,dark olive green,dark olive brown,MISMATCH,Word differences: pos2: green vs brown
#515744,81,87,68,3.4GY 3.8/2.1,grayish olive green,grayish olive green,EXACT_MATCH,Perfect classification match
#31362b,49,54,43,1.5Y 2.0/1.3,dark grayish olive green,dark olive brown,MISMATCH,Word count difference: 4 vs 3 words
#27a64c,39,166,76,10GY 5.9/10.7,vivid yellowish green,strong yellowish green,MISMATCH,Word differences: pos0: vivid vs strong
#83d37d,131,211,125,10GY 7.8/9.3,brilliant yellowish green,brilliant yellowish green,EXACT_MATCH,Perfect classification match
#44944a,68,148,74,10GY 5.4/8.6,strong yellowish green,strong yellowish green,EXACT_MATCH,Perfect classification match
#00622d,0,98,45,1G 3.8/8.6,deep yellowish green,strong bluish green,MISMATCH,Word differences: pos0: deep vs strong, pos1: yellowish vs bluish
#003118,0,49,24,10Y 1.5/4.4,very deep yellowish green,dark olive,MISMATCH,Word count difference: 4 vs 2 words
#b6e5af,182,229,175,9.9GY 8.7/5.4,very light yellowish green,very light yellowish green,EXACT_MATCH,Perfect classification match
#93c592,147,197,146,10GY 7.5/6.1,light yellowish green,light yellowish green,EXACT_MATCH,Perfect classification match
#679267,103,146,103,9.8GY 5.5/5.5,moderate yellowish green,moderate yellowish green,EXACT_MATCH,Perfect classification match
#355e3b,53,94,59,10GY 3.8/5.1,dark yellowish green,dark yellowish green,EXACT_MATCH,Perfect classification match
#173620,23,54,32,9.4Y 1.8/3.5,very dark yellowish green,dark olive,MISMATCH,Word count difference: 4 vs 2 words
#008856,0,136,86,2.7G 4.9/8.9,vivid green,strong yellowish green,MISMATCH,Word count difference: 2 vs 3 words
#3eb489,62,180,137,4.6G 6.6/9.0,brilliant green,brilliant green,EXACT_MATCH,Perfect classification match
#007959,0,121,89,4.9G 4.4/7.8,strong green,strong green,EXACT_MATCH,Perfect classification match
#00543d,0,84,61,6.4GY 3.2/4.4,deep green,moderate olive green,MISMATCH,Word count difference: 2 vs 3 words
#8ed1b2,142,209,178,4.4G 7.9/6.2,very light green,very light green,EXACT_MATCH,Perfect classification match
#6aab8e,106,171,142,4G 6.4/6.4,light green,moderate yellowish green,MISMATCH,Word count difference: 2 vs 3 words
#3b7861,59,120,97,6.4GY 4.5/3.8,moderate green,NO_CLASSIFICATION,NO_CLASSIFICATION,Point not found in any ISCC-NBS polygon
#1b4d3e,27,77,62,5.5G 2.9/4.8,dark green,dark green,EXACT_MATCH,Perfect classification match
#1c352d,28,53,45,9GY 1.8/1.7,very dark green,dark grayish olive green,MISMATCH,Word count difference: 3 vs 4 words
#c7e6d7,199,230,215,3.5G 8.9/3.3,very pale green,very light green,MISMATCH,Word differences: pos1: pale vs light
#8da399,141,163,153,4.9G 6.4/2.5,pale green,NO_CLASSIFICATION,NO_CLASSIFICATION,Point not found in any ISCC-NBS polygon
#5e716a,94,113,106,7.9G 4.5/1.5,grayish green,grayish green,EXACT_MATCH,Perfect classification match
#3a4b47,58,75,71,1.5BG 3.1/1.9,dark grayish green,dark grayish green,EXACT_MATCH,Perfect classification match
#1a2421,26,36,33,10GY 1.2/0.6,blackish green,greenish black,MISMATCH,Word differences: pos0: blackish vs greenish, pos1: green vs black
#dfede8,223,237,232,3.1G 9.5/2.1,greenish white,pale pink,MISMATCH,Word differences: pos0: greenish vs pale, pos1: white vs pink
#b2beb5,178,190,181,10GY 7.5/2.1,light greenish gray,grayish pink,MISMATCH,Word count difference: 3 vs 2 words
#7d8984,125,137,132,3G 5.4/1.1,greenish gray,greenish gray,EXACT_MATCH,Perfect classification match
#4e5755,78,87,85,1.5G 3.8/0.9,dark greenish gray,dark greenish gray,EXACT_MATCH,Perfect classification match
#1e2321,30,35,33,8.1GY 1.2/0.3,greenish black,black,MISMATCH,Word count difference: 2 vs 1 words
#008882,0,136,130,4.8BG 5.0/6.7,vivid bluish green,moderate bluish green,MISMATCH,Word differences: pos0: vivid vs moderate
#00a693,0,166,147,1.1BG 6.0/8.1,brilliant bluish green,brilliant bluish green,EXACT_MATCH,Perfect classification match
#007a74,0,122,116,4.6BG 4.5/6.1,strong bluish green,moderate bluish green,MISMATCH,Word differences: pos0: strong vs moderate
#00443f,0,68,63,3.6BG 2.4/4.2,deep bluish green,dark bluish green,MISMATCH,Word differences: pos0: deep vs dark
#96ded1,150,222,209,9.4G 8.5/5.5,very light bluish green,very light green,MISMATCH,Word count difference: 4 vs 3 words
#66ada4,102,173,164,10G 6.5/5.8,light bluish green,light bluish green,EXACT_MATCH,Perfect classification match
#317873,49,120,115,4.2BG 4.5/4.6,moderate bluish green,moderate bluish green,EXACT_MATCH,Perfect classification match
#004b49,0,75,73,3.8BG 2.8/4.6,dark bluish green,dark bluish green,EXACT_MATCH,Perfect classification match
#002a29,0,42,41,9.9G 1.3/2.3,very dark bluish green,very dark bluish green,EXACT_MATCH,Perfect classification match
#0085a1,0,133,161,4.7B 5.0/6.9,vivid greenish blue,moderate greenish blue,MISMATCH,Word differences: pos0: vivid vs moderate
#239eba,35,158,186,3.7B 5.9/7.8,brilliant greenish blue,brilliant greenish blue,EXACT_MATCH,Perfect classification match
#007791,0,119,145,9BG 4.5/6.5,strong greenish blue,moderate bluish green,MISMATCH,Word differences: pos0: strong vs moderate, pos1: greenish vs bluish, pos2: blue vs green
#2e8495,46,132,149,10BG 5.0/5.7,deep greenish blue,moderate bluish green,MISMATCH,Word differences: pos0: deep vs moderate, pos1: greenish vs bluish, pos2: blue vs green
#9cd1dc,156,209,220,2B 8.1/3.9,very light greenish blue,very light greenish blue,EXACT_MATCH,Perfect classification match
#66aabc,102,170,188,1B 6.5/5.1,light greenish blue,light blue,MISMATCH,Word count difference: 3 vs 2 words
#367588,54,117,136,1.1B 4.5/4.9,moderate greenish blue,moderate greenish blue,EXACT_MATCH,Perfect classification match
#004958,0,73,88,1.3B 2.8/4.6,dark greenish blue,dark greenish blue,EXACT_MATCH,Perfect classification match
#002e3b,0,46,59,4.6B 1.5/3.6,very dark greenish blue,very dark greenish blue,EXACT_MATCH,Perfect classification match
#00a1c2,0,161,194,3.6B 6.0/7.9,vivid blue,brilliant greenish blue,MISMATCH,Word count difference: 2 vs 3 words
#4997d0,73,151,208,9.2B 5.9/8.4,brilliant blue,brilliant greenish blue,MISMATCH,Word count difference: 2 vs 3 words
#0067a5,0,103,165,3.2PB 4.1/9.6,strong blue,strong blue,EXACT_MATCH,Perfect classification match
#00416a,0,65,106,3.6B 2.6/6.5,deep blue,dark greenish blue,MISMATCH,Word count difference: 2 vs 3 words
#a1caf1,161,202,241,8.6B 8.0/5.2,very light blue,very light greenish blue,MISMATCH,Word count difference: 3 vs 4 words
#70a3cc,112,163,204,9.2B 6.4/6.0,light blue,light greenish blue,MISMATCH,Word count difference: 2 vs 3 words
#436b95,67,107,149,10B 4.3/6.2,moderate blue,moderate blue,EXACT_MATCH,Perfect classification match
#00304e,0,48,78,1.6PB 1.7/5.2,dark blue,dark blue,EXACT_MATCH,Perfect classification match
#bcd4e6,188,212,230,3.8B 8.5/2.6,very pale blue,very pale blue,EXACT_MATCH,Perfect classification match
#91a3b0,145,163,176,7.9B 6.5/2.1,pale blue,pale blue,EXACT_MATCH,Perfect classification match
#536878,83,104,120,7.4B 4.2/2.4,grayish blue,grayish blue,EXACT_MATCH,Perfect classification match
#36454f,54,69,79,10BG 2.8/2.1,dark grayish blue,dark grayish green,MISMATCH,Word differences: pos2: blue vs green
#202830,32,40,48,2.5B 1.4/1.6,blackish blue,blackish blue,EXACT_MATCH,Perfect classification match
#e9e9ed,233,233,237,10GY 9.5/1.6,bluish white,pale pink,MISMATCH,Word differences: pos0: bluish vs pale, pos1: white vs pink
#b4bcc0,180,188,192,7.7G 7.5/1.4,light bluish gray,NO_CLASSIFICATION,NO_CLASSIFICATION,Point not found in any ISCC-NBS polygon
#81878b,129,135,139,5.1G 5.4/1.3,bluish gray,grayish green,MISMATCH,Word differences: pos0: bluish vs grayish, pos1: gray vs green
#51585e,81,88,94,1.1BG 3.8/1.8,dark bluish gray,grayish green,MISMATCH,Word count difference: 3 vs 2 words
#202428,32,36,40,2.1B 1.2/0.7,bluish black,bluish black,EXACT_MATCH,Perfect classification match
#30267a,48,38,122,8.2PB 1.9/10.3,vivid purplish blue,deep purplish blue,MISMATCH,Word differences: pos0: vivid vs deep
#6c79b8,108,121,184,7.6PB 5.1/8.3,brilliant purplish blue,moderate blue,MISMATCH,Word count difference: 3 vs 2 words
#545aa7,84,90,167,7.1PB 4.0/9.7,strong purplish blue,strong blue,MISMATCH,Word count difference: 3 vs 2 words
#272458,39,36,88,7.5B 1.5/5.8,deep purplish blue,very dark greenish blue,MISMATCH,Word count difference: 3 vs 4 words
#b3bce2,179,188,226,3.9PB 7.6/4.0,very light purplish blue,very pale blue,MISMATCH,Word count difference: 4 vs 3 words
#8791bf,135,145,191,6.8PB 6.0/5.7,light purplish blue,light purplish blue,EXACT_MATCH,Perfect classification match
#4e5180,78,81,128,7.9PB 3.8/5.9,moderate purplish blue,moderate purplish blue,EXACT_MATCH,Perfect classification match
#252440,37,36,64,7.5B 1.4/3.7,dark purplish blue,very dark greenish blue,MISMATCH,Word count difference: 3 vs 4 words
#c0c8e1,192,200,225,9.8B 8.1/3.0,very pale purplish blue,very pale blue,MISMATCH,Word count difference: 4 vs 3 words
#8c92ac,140,146,172,3.1PB 6.0/3.1,pale purplish blue,pale blue,MISMATCH,Word count difference: 3 vs 2 words
#4c516d,76,81,109,6.5PB 3.7/3.8,grayish purplish blue,grayish purplish blue,EXACT_MATCH,Perfect classification match
#9065ca,144,101,202,2.6P 5.0/13.2,vivid violet,vivid violet,EXACT_MATCH,Perfect classification match
#7e73b8,126,115,184,9.5PB 5.1/8.1,brilliant violet,light purplish blue,MISMATCH,Word count difference: 2 vs 3 words
#604e97,96,78,151,10PB 3.7/8.9,strong violet,moderate purplish blue,MISMATCH,Word count difference: 2 vs 3 words
#32174d,50,23,77,10B 1.3/5.1,deep violet,dark blue,MISMATCH,Word differences: pos0: deep vs dark, pos1: violet vs blue
#dcd0ff,220,208,255,1.7P 8.6/5.0,very light violet,NO_CLASSIFICATION,NO_CLASSIFICATION,Point not found in any ISCC-NBS polygon
#8c82b6,140,130,182,10PB 5.5/5.8,light violet,light purplish blue,MISMATCH,Word count difference: 2 vs 3 words
#604e81,96,78,129,1.6P 3.8/6.5,moderate violet,moderate violet,EXACT_MATCH,Perfect classification match
#2f2140,47,33,64,10B 1.4/3.5,dark violet,dark blue,MISMATCH,Word differences: pos1: violet vs blue
#c4c3dd,196,195,221,5.4PB 8.0/2.7,very pale violet,very pale blue,MISMATCH,Word differences: pos2: violet vs blue
#9690ab,150,144,171,9.3PB 6.0/3.1,pale violet,pale violet,EXACT_MATCH,Perfect classification match
#554c69,85,76,105,9.5B 3.6/3.4,grayish violet,moderate greenish blue,MISMATCH,Word count difference: 2 vs 3 words
#9a4eae,154,78,174,6.7P 4.5/13.2,vivid purple,vivid purple,EXACT_MATCH,Perfect classification match
#d399e6,211,153,230,6.2P 7.1/9.8,brilliant purple,brilliant purple,EXACT_MATCH,Perfect classification match
#875692,135,86,146,5.6P 4.3/7.1,strong purple,moderate purple,MISMATCH,Word differences: pos0: strong vs moderate
#602f6b,96,47,107,5.4P 2.8/7.8,deep purple,deep purple,EXACT_MATCH,Perfect classification match
#401a4c,64,26,76,3.2PB 1.5/4.5,very deep purple,dark blue,MISMATCH,Word count difference: 3 vs 2 words
#d5badb,213,186,219,7.7P 7.9/4.1,very light purple,very pale purple,MISMATCH,Word differences: pos1: light vs pale
#b695c0,182,149,192,6.3P 6.5/5.9,light purple,light purple,EXACT_MATCH,Perfect classification match
#86608e,134,96,142,7.5P 4.5/6.7,moderate purple,moderate purple,EXACT_MATCH,Perfect classification match
#563c5c,86,60,92,7.9P 3.0/4.1,dark purple,dark purple,EXACT_MATCH,Perfect classification match
